"session_id","response_id","prolific_id","ip","education","gender","age","country","f01","f02","f03","f04","f05","f06","f07","f08","f09","f10","f11","f12","f13","f14","f15","p01","p02","p03","p04","p05","p06","p07","p08","p09","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","p24","p25","p26","fw","de","du","trb","psi","witchcraft","superstition","spiritualism","elf","precognition","rpbs","n_hit","n_fa","n_miss","n_cr","acc_88","sum","dprime","beta","aprime","bppd","c"
1544,207,"5c95ea131f681e00108ce757","86.26.29.225","A level","female","29","UK",5,7,7,4,4,5,4,3,3,6,2,4,3,4,6,4,3,2,1,3,1,4,1,3,3,1,2,2,5,6,2,2,2,4,3,4,4,5,4,4,4,22,20,25,15,13,11,4,13,6,17,79,22,0,8,30,"87%",60,2.74137689696186,8.26688202068412,0.933333333333333,1,0.770509672491086
1545,229,"5f4e76eff69af505fa21da55","83.26.201.74","Student","Male","22","Poland",6,6,6,4,5,5,3,3,5,3,2,6,3,4,7,3,5,2,1,1,4,5,2,5,1,1,5,1,1,2,5,1,1,1,6,6,1,4,2,1,1,19,20,29,8,19,6,3,8,11,13,68,25,2,5,28,"88%",60,2.32598962098473,1.73846860802415,0.935357142857143,0.38121546961326,0.237750250638212
1546,214,"5f6db0c1e6ec2a2317c18590","188.251.50.15","Student","Male","18","Portugal",6,3,5,6,2,6,6,3,4,6,5,5,6,1,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,1,1,6,1,1,1,30,14,25,6,9,4,3,4,6,4,36,26,4,4,26,"87%",60,2.11482845697276,1,0.923076923076923,-1.20096240644548e-16,0
1547,287,"5c3dbae66d874c0001bda6d8","147.78.30.50","Studying ","Female","34","Denmark",5,4,3,1,5,4,3,3,5,4,7,4,5,3,6,7,1,2,1,2,1,2,4,1,4,1,4,1,2,7,1,1,1,4,4,3,7,2,1,1,1,18,22,22,25,5,8,3,11,6,8,66,9,9,20,21,"51%",59,0.0288932256763684,1.01430195415457,0.512027914614122,0.00950618322537232,0.491487041327628
1548,208,"5a4513a435c9d50001fdbf96","176.207.198.146","Master's degree","Female","28","Italy",5,4,4,2,1,1,2,2,4,3,3,6,4,1,6,4,3,2,1,4,1,1,4,3,1,1,4,1,1,4,3,1,1,4,6,1,2,5,1,2,1,16,11,21,14,14,5,3,14,8,4,62,19,1,11,29,"80%",60,1.98998895753216,3.76121438974622,0.892014519056261,0.756302521008403,0.66570313178796
1549,203,"5e82393e3c757f94be4685e1","93.34.149.123","high school diploma","male","23","Italy",4,5,3,3,3,2,2,3,5,3,6,6,3,3,6,2,2,2,2,4,4,2,5,3,5,2,5,5,2,2,2,2,2,4,6,2,5,3,4,2,2,15,20,22,14,10,13,6,15,15,8,81,18,5,12,25,"72%",60,1.17025078289147,1.48888083921158,0.810555555555556,0.266862170087977,0.340119168408415
1550,204,"5f37f4ee7815e507bce7caba","161.230.89.132","Student, on the way to master degree","Male","23","Portugal",4,6,3,5,5,5,4,4,6,3,4,6,5,4,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,21,23,25,5,4,4,3,4,9,4,33,25,1,5,29,"90%",60,2.58594217040819,2.58808838802779,0.946896551724138,0.623376623376623,0.367726525349945
1551,206,"5ee6701fece2070abf7e8cdc","93.108.196.58","first year of university","male","18","portugal",4,3,6,5,5,4,3,3,2,4,2,5,6,2,6,5,1,1,1,4,1,5,1,6,1,1,1,1,4,2,1,2,1,2,7,5,1,7,1,1,3,22,15,23,9,15,5,3,8,9,17,66,24,3,6,27,"85%",60,2.01877317304142,1.50302594104661,0.913194444444444,0.28,0.201845544400634
1552,210,"5dee3987770a434ca44342c9","83.26.234.106","Graduated","Female","33","Poland",6,5,6,6,6,5,6,6,6,6,4,7,6,6,7,7,6,6,1,7,4,5,1,6,6,2,7,4,4,4,6,6,1,7,6,4,1,7,6,7,6,30,27,31,13,25,24,4,28,14,19,127,15,10,15,20,"58%",60,0.415987220189675,1.09037610118043,0.645833333333333,0.0588235294117647,0.207993610094837
1553,222,"5f1ad8b60c7d020008109114","151.81.12.81","Master Degree","Female","26","Italy",4,3,5,3,2,5,6,3,6,5,2,7,6,3,6,6,1,2,1,1,4,1,6,1,4,1,2,4,1,1,1,2,1,5,7,5,4,1,5,4,4,24,13,29,17,4,13,3,12,15,11,75,27,0,3,30,"95%",60,3.35243025189336,4.75322368860652,0.975,1,0.464982995025337
1554,237,"5f3108bd8d9874582916bcc0","80.50.134.198","High School","Male","22","Poland",3,6,1,1,5,2,7,5,2,4,7,2,5,5,2,1,1,1,1,4,1,2,1,1,1,1,1,3,1,1,3,1,1,1,7,6,1,7,1,1,2,20,28,9,4,12,4,3,7,11,11,52,24,3,6,25,"84%",58,1.97908721342284,1.43361460151165,0.910517857142857,0.251646377968469,0.182002564591343
1555,211,"5f67ebfb31d13c440655c71a","94.63.23.232","high-school","male","22","Portugal",4,4,6,5,5,4,1,4,6,7,2,6,5,4,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,7,1,1,1,22,19,28,5,10,4,3,4,6,4,36,12,3,18,27,"65%",60,0.966225907884024,2.02086899171514,0.770833333333333,0.454545454545454,0.728119176979333
1556,218,"5f1da6fa112d026edb1525f8","85.221.133.203","Full work","Male","43","Poland",1,2,1,2,2,1,1,2,2,3,1,2,1,2,1,1,2,1,1,2,1,1,2,2,3,5,3,3,2,2,1,2,2,3,2,3,3,6,3,2,2,8,9,7,8,11,9,8,10,6,8,60,18,26,12,4,"37%",60,-0.81240800544906,1.69731637470244,0.256410256410256,-0.35,-0.651210225761851
