prolific_id,n_hit,n_fa,n_miss,n_cr,sum,dprime,beta,aprime,bppd,c
5d604ab485c2de0016bad3a3,65,22,23,63,173,1.269259228,1.004713818,0.824239821,0.003166584,0.003705108
5d6af10e8fabb6001a45d483,82,10,8,80,180,2.518445093,0.857932922,0.944512195,-0.098901099,-0.060842844
5d7374ab99bf5b0018864719,75,11,15,79,180,2.096565271,1.221467348,0.915864979,0.128385155,0.095419343
5d7676e5cac29f001978af7b,54,39,33,49,175,0.444981085,0.964512506,0.651193608,-0.023512138,-0.081200036
5d78b90e37d53e001a06e5d8,53,5,14,62,134,2.194406718,1.939864058,0.919963481,0.410646388,0.301957651
5d7e248487bade0001e6c172,79,4,11,84,178,2.783132663,1.993395324,0.955043503,0.424069234,0.247864353
5d9db76a8d7922001729340e,77,40,13,50,180,1.181694289,0.585709283,0.80512987,-0.332889037,-0.452681985
5daccba5ad1260001762c25b,76,15,14,75,180,1.950034697,0.9577187,0.903991228,-0.027866606,-0.022154056
5db0c396ff30f700136bc805,80,3,10,87,180,2.967204741,2.331038912,0.961889368,0.50801131,0.285222668
5db1db20830742000a4470b4,47,17,43,73,180,0.924542401,1.457073274,0.762314194,0.239117106,0.407152573
5dbd6f66ecdd3f2b18dc2580,64,14,25,74,177,1.555489657,1.375103418,0.861180574,0.203152605,0.20477728
5dc13c70444b6e0b1f51eec3,79,32,11,58,180,1.509808335,0.555987106,0.851320384,-0.362201835,-0.388797811
5dcd5aa07e5deb02d76958d2,55,9,34,80,178,1.547253847,2.091472726,0.852840909,0.444015444,0.476889085
5dd2759d98981d2840e20a09,74,22,15,66,177,1.611096475,0.79823913,0.868651306,-0.144570479,-0.139871863
5de15e456247ef000dfc8b36,64,15,26,74,179,1.495276921,1.344118384,0.853886031,0.188960408,0.19778164
5de9681e6f9b7e09ad24c326,71,12,19,78,180,1.883883956,1.327309695,0.896849043,0.180743982,0.15030337
5dec0058da52232e71810e06,80,73,2,2,157,0.039170478,0.929754062,0.521924797,-0.043420219,-1.85944061
5df3c9a0ef7f5e2a439e436e,85,3,5,86,179,3.314822199,1.422508349,0.976703945,0.233975872,0.106316941
5df50a49a98a7a3924e4137e,52,44,37,45,178,0.224354557,0.978198088,0.582905983,-0.014344262,-0.098251116
5dffc4c8265c80bee3e29c2d,74,3,15,87,179,2.714245139,3.05708371,0.946389721,0.626096985,0.411702469
5e015e48946e97d428a04739,51,61,37,19,168,-0.505476427,1.256164036,0.331231119,-0.147325188,-0.451183575
5e0477f613ec50f00c452845,65,40,24,46,175,0.692649251,0.83532259,0.714749015,-0.116300302,-0.259781258
5e095b09b6385323681f4097,59,5,17,63,144,2.154882535,2.0344224,0.915961805,0.436471399,0.329582673
5e1f46d7ded49f273e668b53,65,11,25,79,180,1.725890713,1.623452811,0.878578384,0.303127506,0.280756622
5e25529eab132b7bb83842f1,73,17,17,73,180,1.738847547,1,0.883561644,0,0
5e316786814a08000dfb4bdb,83,6,7,84,180,2.854225852,1.114945544,0.961094378,0.070967742,0.038120867
5e4167bcf0cb003996e25ca4,85,24,5,66,180,2.166235263,0.362856712,0.910472371,-0.576903932,-0.467976527
5e42bca17e337314fd24894b,58,17,32,73,180,1.23553013,1.364696305,0.817135097,0.19857927,0.251658708
5e45ae4754f56d099400d6df,50,6,40,84,180,1.603398952,2.897679453,0.850952381,0.597444089,0.663534317
5e4ad10709a6b7000a37f918,62,14,22,71,169,1.588598102,1.300496244,0.865825535,0.16843378,0.165394833
5e503fa37cbf4308d1131e52,81,33,8,56,178,1.639846618,0.444857172,0.862433862,-0.480769231,-0.493949861
5e582888ad019803dba551c4,69,9,19,79,176,2.019277175,1.60533222,0.907264722,0.296735905,0.23440602
5e5e449c85f6ea15d731714a,58,27,32,63,180,0.884196174,1.069500372,0.756636563,0.043576047,0.07599173
5e601fc1a361d5000c494d70,72,31,17,59,179,1.257359416,0.746091208,0.820713831,-0.187407838,-0.232954412
5e722b8cffc65d01103bbc8a,74,23,16,67,180,1.559126596,0.815531864,0.862595805,-0.131009174,-0.13078783
5e77a0db24d7c931311dd356,74,23,14,66,177,1.622445782,0.757354611,0.869537441,-0.177803645,-0.171299217
5e7bb30e3f9fe31d223a0f04,79,5,11,84,179,2.689214997,1.716484217,0.951625092,0.338476507,0.200905521
5e7f717ffa7e820283155b82,49,40,39,50,178,0.279455665,0.999563397,0.601021697,-0.000287402,-0.001562674
