"prolific_id","n_hit","n_fa","n_miss","n_cr","sum"
"5efd2964d36f63162f263795",75,11,13,79,178
"5effb373e52eda0a74ec4015",63,8,26,80,177
"5f0094fc2e1a9e1b4ea12b2e",64,42,22,47,175
"5f01bf065d902430eb9e209b",82,16,7,74,179
"5f07c1e322eb5a4022095cbd",64,25,23,63,175
"5f09cb729bf14505753e5bd8",76,6,13,84,179
"5f0b062853f8960008793934",70,40,20,50,180
"5f1036d3e4b5530008812141",53,27,37,62,179
"5f10d1960878f0401ddc72ba",63,37,26,53,179
"5f1164d8aca7f8000cca2709",70,21,20,69,180
"5f1733f79af14006b505ed46",82,18,7,72,179
"5f1ddd17b44cb7301bc337ef",61,47,28,42,178
"5f1f19934d3c1c0c62cb319e",81,48,2,27,158
"5f207db04d3c1c3935e1b821",75,5,14,84,178
"5f22c8019c9a3b0008eb2f22",76,39,11,50,176
"5f2345de5a990d0f6226443c",83,27,7,63,180
"5f26d665a193a500095f564e",82,15,7,75,179
"5f2a942116fd782e845c42e9",69,22,20,68,179
"5f3244131f74f3194ba62f1b",79,30,10,60,179
"5f32b3927efd290120b866c7",81,8,9,82,180
"5f37f709b66267082f6f3992",85,9,5,80,179
"5f380897822a9e2bfd9c5963",40,14,28,50,132
"5f3ac193f436407465a3d08e",68,13,22,77,180
"5f3cf75f2982e903fb34b9f6",80,19,10,69,178
"5f3e8dbbf008950bf0646f39",72,18,17,72,179
"5f45282b8515140ace81cb44",69,42,21,48,180
"5f4557043bf01d125f02f01a",60,3,29,86,178
"5f477a85d919ec03cadfaddd",73,34,17,55,179
"5f47d4b3a08b212137abc4c7",73,23,15,66,177
"5f491a3555e3b941751215e2",84,10,5,80,179
"5f496df08d19d84cde035c29",67,27,23,62,179
"5f4b6001f958ee71ec91df89",57,44,27,41,169
"5f4b925345981175b1355872",73,28,16,61,178
"5f4e5f7594d42c0232e53b97",54,30,35,56,175
"5f50dcf27fc3a5275d7047c0",77,19,12,71,179
"5f5362c1a448d7668ec843e4",53,33,36,54,176
"5f578fcd87cb442352a8ac79",69,13,21,76,179
"5f58c7ea83941b059cfb928c",75,16,14,73,178
"5f59fd63f7e04902c806f680",68,40,19,48,175
"5f5b5fbd8ef13206a0f27805",37,21,52,68,178
"5f5c21d8af246b40932ec609",84,8,6,82,180
"5f5c947a5b5eb447ee802a19",67,27,22,60,176
"5f6481e71e733c21b974c52e",58,19,32,69,178
"5f66363877c78d1f9dc318bc",58,18,32,71,179
"5f672de82c0f4631857bb4a7",41,39,48,50,178
"5f67bc66777bfd3f9906742c",86,28,3,58,175
"5f68924358c48c0638b1eee1",51,49,36,38,174
"5f6a576e0e6c0e10b19b9b41",63,6,23,83,175
"5f6a7f502e98bc152bd3b037",41,79,48,11,179
"5f6cd5ce1758e90f12ae1123",43,48,45,39,175
"5f6f24f71b1cd746e9ded65e",77,15,13,75,180
"5f733f953409c7015fc43d26",70,17,19,73,179
"5f7345ef4b3fc3027203ecf1",70,14,16,73,173
"5f7627b46c029a08e8ca87a1",78,11,10,77,176
"5f7b2d43d76dea07bbf5b9bb",53,26,36,63,178
"5f7dd177bcf2a803e18fd2f0",74,41,16,49,180
"5f7f1e4acf7c770505c14357",80,7,10,83,180
"5f7f4a99ddc9cb0b87490fe9",83,22,6,68,179
"5f8370c6e0804f4fb492bcdc",79,26,9,64,178
"5f8472685956c40c720d0936",73,20,16,70,179
"5f848bc5c4a378107eedffca",55,52,25,25,157
