prolific_id,n_hit,n_fa,n_miss,n_cr,acc_407,sum,dprime,beta,aprime,bppd,c
5dd2759d98981d2840e20a09,20,6,9,23,74%,58,1.260540804,1.213067935,0.827173913,0.132075472,0.153229973
5de15e456247ef000dfc8b36,16,5,14,25,68%,60,1.00619185,1.529227209,0.781875,0.283667622,0.422148635
5de9681e6f9b7e09ad24c326,22,5,8,25,78%,60,1.525423336,1.281372112,0.863181818,0.169435216,0.162532892
5dec0058da52232e71810e06,28,24,0,1,55%,53,0.539935806,0.369403939,0.76,-1,-1.844412868
5df3c9a0ef7f5e2a439e436e,28,0,2,30,97%,60,3.541943182,3.71107404,0.983333333,1,0.37022653
5df50a49a98a7a3924e4137e,12,17,18,13,42%,60,-0.407435596,0.983318332,0.357026144,0.011441648,0.041288425
5dffc4c8265c80bee3e29c2d,20,1,10,29,82%,60,2.076684831,3.64164533,0.901293103,0.746724891,0.622355195
5e015e48946e97d428a04739,16,21,13,6,39%,56,-0.606146737,1.29676947,0.301271525,-0.177276221,-0.428734715
5e0477f613ec50f00c452845,17,12,12,16,58%,57,0.384169456,0.992977696,0.636192408,-0.004778973,-0.018343666
5e095b09b6385323681f4097,14,2,12,20,71%,48,1.326466411,2.130661585,0.830869131,0.500886001,0.570261357
5e1f46d7ded49f273e668b53,18,5,12,25,72%,60,1.170250783,1.488880839,0.810555556,0.26686217,0.340119168
5e25529eab132b7bb83842f1,26,7,4,23,82%,60,1.757504441,0.73051956,0.889214047,-0.21509434,-0.178662008
5e316786814a08000dfb4bdb,23,2,7,28,85%,60,2.100835274,2.087527206,0.91576087,0.483870968,0.350327424
5e4167bcf0cb003996e25ca4,27,9,3,21,80%,60,1.717165785,0.545770235,0.880952381,-0.4,-0.352649238
5e42bca17e337314fd24894b,14,5,16,25,65%,60,0.844297269,1.529227209,0.750714286,0.283667622,0.503095925
5e45ae4754f56d099400d6df,12,2,18,28,67%,60,1.155738838,2.5883726,0.797619048,0.588235294,0.822875642
5e4ad10709a6b7000a37f918,19,6,9,22,73%,56,1.204880761,1.206572009,0.818779904,0.128712871,0.155852176
5e503fa37cbf4308d1131e52,27,14,2,16,73%,59,1.463941418,0.385559348,0.842363772,-0.589845728,-0.651023418
5e582888ad019803dba551c4,20,4,9,25,78%,58,1.513473818,1.527012634,0.86,0.285714286,0.279696481
