"prolific_id","n_hit","n_fa","n_miss","n_cr","acc_407","sum"
"5ea95e9500721703bfe1f46b",22,2,8,28,"83%",60
"5eaecf00e002645a4e1f7417",19,13,9,16,"61%",57
"5eb170206e577a07e9954c65",25,5,5,25,"83%",60
"5eb29fb2f3a18001d2e58416",18,3,12,26,"75%",59
"5ebd50ddb6a8d902ad31d9ec",17,8,12,22,"66%",59
"5ebd5618c83ba403c47de464",29,6,1,24,"88%",60
"5ec06105afc3710d3ece8896",25,3,5,27,"87%",60
"5ec08b60b585e0347768bb09",0,0,30,30,"50%",60
"5ec251b67b846b0113ac8e5c",17,1,13,28,"76%",59
"5ec27310823652045f1e3597",25,8,5,22,"78%",60
"5ec3022338a19e143412435f",25,5,4,25,"85%",59
"5ec3b9e83f187802a6aa041e",22,2,8,28,"83%",60
"5ecbb2347a5125043b1d3588",18,2,12,28,"77%",60
"5ecd3478898cb206f41c86e0",23,9,5,18,"75%",55
"5ed416a5b45e9d0ca2e233f6",17,6,13,24,"68%",60
"5ed772653b309d023ca48655",26,2,4,28,"90%",60
"5eda126ec6a418029cb19e91",26,3,4,27,"88%",60
"5ede918b4280d611f9a38200",23,9,7,21,"73%",60
"5ede9653252ba51223688917",14,5,16,25,"65%",60
"5ee24067b1d0696a7834463e",20,7,8,19,"72%",54
"5ee4152d9776d110b4445fdf",25,11,5,19,"73%",60
"5ee77a7099ecf00464f49455",18,4,12,26,"73%",60
"5ee8ceb850ff321f9c977c5c",19,2,11,28,"78%",60
"5eea42003e537f10bc27959d",29,19,1,11,"67%",60
"5eeaa0ffaa6af11cf32ce057",18,16,12,14,"53%",60
"5eeb414cfe8e6a02516fc245",24,3,6,27,"85%",60
"5eeb78fa8931bf2d402dae9e",15,10,15,20,"58%",60
"5eec906e64e58301daaca6c0",25,2,5,28,"88%",60
"5eed15f46a9e0d11f19f405d",21,14,9,16,"62%",60
"5eed229c7c5a171282476bb8",21,8,9,22,"72%",60
"5eef09eb6db5543c11297022",22,4,8,26,"80%",60
"5ef5d56a65a4f102ee59634d",22,1,8,29,"85%",60
"5ef9a3f085fd347438975462",27,16,3,13,"68%",59
"5efa06a7540ce97e3ed866f8",16,8,14,22,"63%",60
"5efa131512ad19803bc3d2fd",13,1,17,28,"69%",59
"5efd2964d36f63162f263795",21,4,8,26,"80%",59
"5effb373e52eda0a74ec4015",16,0,13,30,"78%",59
"5f0094fc2e1a9e1b4ea12b2e",17,12,10,17,"61%",56
"5f01bf065d902430eb9e209b",26,7,3,23,"83%",59
"5f07c1e322eb5a4022095cbd",18,5,11,25,"73%",59
"5f09cb729bf14505753e5bd8",21,3,8,27,"81%",59
"5f0b062853f8960008793934",23,18,7,12,"58%",60
"5f1036d3e4b5530008812141",16,8,14,22,"63%",60
"5f10d1960878f0401ddc72ba",20,10,9,20,"68%",59
"5f1164d8aca7f8000cca2709",23,8,7,22,"75%",60
"5f1733f79af14006b505ed46",25,6,5,24,"82%",60
"5f1ddd17b44cb7301bc337ef",18,17,11,12,"52%",58
"5f1f19934d3c1c0c62cb319e",24,13,1,12,"72%",50
"5f207db04d3c1c3935e1b821",22,1,8,29,"85%",60
"5f22c8019c9a3b0008eb2f22",24,14,5,16,"68%",59
"5f2345de5a990d0f6226443c",25,8,5,22,"78%",60
"5f26d665a193a500095f564e",23,3,6,27,"85%",59
"5f2a942116fd782e845c42e9",15,2,14,28,"73%",59
"5f3244131f74f3194ba62f1b",25,15,5,15,"67%",60
"5f32b3927efd290120b866c7",23,2,7,28,"85%",60
"5f37f709b66267082f6f3992",27,7,3,23,"83%",60
"5f380897822a9e2bfd9c5963",9,6,12,15,"57%",42
"5f3ac193f436407465a3d08e",19,3,11,27,"77%",60
"5f3cf75f2982e903fb34b9f6",21,6,9,24,"75%",60
"5f3e8dbbf008950bf0646f39",24,6,6,24,"80%",60
"5f45282b8515140ace81cb44",23,13,7,17,"67%",60
"5f4557043bf01d125f02f01a",17,2,13,28,"75%",60
"5f477a85d919ec03cadfaddd",21,13,9,16,"63%",59
"5f47d4b3a08b212137abc4c7",22,8,7,22,"75%",59
"5f491a3555e3b941751215e2",27,3,3,27,"90%",60
"5f496df08d19d84cde035c29",19,6,11,24,"72%",60
"5f4b6001f958ee71ec91df89",18,13,8,16,"62%",55
"5f4b925345981175b1355872",24,9,6,21,"75%",60
"5f4e5f7594d42c0232e53b97",18,12,12,17,"59%",59
"5f50dcf27fc3a5275d7047c0",22,4,8,26,"80%",60
"5f5362c1a448d7668ec843e4",16,14,14,15,"53%",59
"5f578fcd87cb442352a8ac79",21,4,9,26,"78%",60
"5f58c7ea83941b059cfb928c",22,7,8,22,"75%",59
"5f59fd63f7e04902c806f680",19,13,10,15,"60%",57
"5f5b5fbd8ef13206a0f27805",9,6,21,23,"54%",59
"5f5c21d8af246b40932ec609",28,2,2,28,"93%",60
"5f5c947a5b5eb447ee802a19",21,8,9,20,"71%",58
"5f6481e71e733c21b974c52e",13,1,17,29,"70%",60
"5f66363877c78d1f9dc318bc",13,8,17,21,"58%",59
"5f672de82c0f4631857bb4a7",13,12,17,17,"51%",59
"5f67bc66777bfd3f9906742c",26,8,3,20,"81%",57
"5f68924358c48c0638b1eee1",20,17,10,12,"54%",59
"5f6a576e0e6c0e10b19b9b41",17,1,10,28,"80%",56
"5f6a7f502e98bc152bd3b037",15,27,14,3,"31%",59
"5f6cd5ce1758e90f12ae1123",17,17,13,12,"49%",59
"5f6f24f71b1cd746e9ded65e",24,7,6,23,"78%",60
